"","word","len.chars","fam","mrc.conc","imag","Open_class","len.syl","complexity","cih","cil","log.e.freq","b.conc","len.phon"
"282","transfer",8,502,331,313,1,2,3.875,0.625,0.625,3.0208,3.04,7
"283","belief",6,554,270,328,1,2,5,0.933333333333334,1,2.5899,1.19,5
"284","approach",8,508,323,329,1,2,3.85714285714286,0.928571428571428,0.785714285714286,3.0298,2.74,6
"285","extreme",7,557,265,332,1,2,4.78571428571429,0.714285714285714,0.857142857142857,2.7474,1.96,NA
"286","moral",5,535,220,341,1,2,4.55555555555556,1,1.05555555555556,2.8388,1.69,5
"287","welfare",7,509,309,362,1,2,4.78947368421053,0.789473684210526,0.842105263157895,2.6053,2.57,NA
"288","distinct",8,490,247,364,1,2,3.8,0.734999999999999,0.666666666666667,2.1931,2.11,NA
"289","array",5,383,371,365,1,2,4.46666666666667,0.8,0.933333333333334,2.0374,2.54,3
"290","effort",6,585,296,367,1,2,4.69230769230769,0.692307692307693,0.617307692307693,2.9948,2.33,4
"291","bother",6,583,267,369,1,2,4.06666666666667,0.866666666666667,0.8,3.5362,2,4
"292","gender",6,450,408,376,1,2,4,1.23076923076923,1.23076923076923,2.1584,3.33,5
"293","humble",6,519,231,377,1,2,4.28571428571429,0.857142857142858,0.928571428571428,2.6998,1.73,5
"294","hasty",5,494,290,380,1,2,3.33333333333333,0.722222222222222,0.722222222222222,2.2553,2.7,5
"295","stupid",6,550,351,381,1,2,3,1,0.933333333333333,3.9734,1.75,NA
"296","placard",7,300,448,382,1,2,3.08333333333333,1.16666666666667,1.16666666666667,0.8451,4.46,6
"297","social",6,497,242,386,1,2,4,0.727272727272728,0.818181818181818,3.2315,2.27,5
"298","pity",4,516,303,391,1,2,3.71428571428571,0.785714285714286,0.785714285714286,3.0792,1.87,4
"299","grammar",7,531,402,392,1,2,5.25,0.75,0.875,2.0899,3.19,5
"300","many",4,599,276,393,1,2,4.63636363636364,1.09090909090909,1.18181818181818,4.2632,2.37,4
"301","safety",6,556,323,397,1,2,3.70588235294118,0.705882352941177,0.705882352941177,3.2175,2.37,5
"302","entree",6,441,418,413,1,2,3.35714285714286,0.857142857142857,0.857142857142857,1.6335,4.28,5
"303","upset",5,536,282,416,1,2,4.1875,0.814062499999999,0.8125,3.5799,2.41,NA
"304","ornate",6,401,339,419,1,2,5.21428571428571,0.571428571428571,0.5,1.0414,3.19,NA
"305","sucker",6,492,404,419,1,2,3.42857142857143,0.714285714285715,0.714285714285714,2.9217,3.79,NA
"306","comfort",7,566,402,421,1,2,3.91666666666667,1,0.91875,2.944,2.89,6
"307","mischief",8,413,325,422,1,2,4.46153846153846,0.615384615384615,0.615384615384615,2.0334,1.9,NA
"308","eerie",5,467,295,423,1,2,3.94444444444444,0.611111111111111,0.666666666666667,1.9542,1.63,3
"309","deface",6,490,397,425,1,2,3.8,0.866666666666667,0.933333333333333,0.7782,3.03,5
"310","liar",4,534,409,425,1,2,3.23076923076923,0.923076923076923,0.848076923076923,3.2536,3.43,3
"311","ginger",6,455,522,430,1,2,2.93333333333333,0.733333333333333,0.666666666666667,2.5159,4.92,5
"312","nation",6,508,415,436,1,2,4.16666666666667,1.00208333333333,1.16666666666667,3.0195,3.62,5
"313","finish",6,617,343,437,1,2,3.26315789473684,0.631578947368421,0.526315789473684,3.7029,2.89,5
"314","commode",7,354,482,447,1,2,4.22222222222222,1.33611111111111,1.33333333333333,1.2041,4.54,NA
"315","public",6,602,356,448,1,2,4.35714285714286,0.857142857142858,0.785714285714285,3.5594,2.57,6
"316","spirit",6,518,296,450,1,2,4.5,0.625,0.5625,3.4011,1.6,6
"317","surprise",8,583,326,451,1,2,4.46666666666667,0.866666666666666,0.866666666666667,3.6566,3.24,6
"318","ally",4,410,485,453,1,2,3.07142857142857,1,0.930357142857143,NA,2.61,3
"319","stranger",8,522,441,454,1,2,3.11764705882353,0.530882352941175,0.529411764705882,3.1392,3.76,NA
"320","express",7,530,402,456,1,2,4.78571428571429,0.857142857142858,0.928571428571428,2.9614,2.21,7
"321","venom",5,375,476,456,1,2,5,0.722222222222222,0.722222222222222,2.0792,4.62,NA
"322","punish",6,536,344,474,1,2,3.73333333333333,0.866666666666666,0.933333333333334,2.6937,2.66,5
"323","fashion",7,548,356,474,1,2,4.38461538461539,1,1.07692307692308,2.9814,3.43,5
"324","chlorine",8,433,591,480,1,2,4.77777777777778,1,1.22222222222222,1.5911,4.5,NA
