"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"21","A05468182BMYGSEVPONMN","4","""25""","""26""","""long""","""4-5""","""25""","""left""","""complex""","""pakuwugnum"""
"22","A05468182BMYGSEVPONMN","5","""5""","""2""","""long""","""2-2""","""5""","""right""","""complex""","""fepolopus"""
"23","A05468182BMYGSEVPONMN","6","""11""","""45""","""long""","""4-4""","""11""","""right""","""complex""","""mipatorun"""
"24","A05468182BMYGSEVPONMN","7","""48""","""10""","""long""","""2-3""","""48""","""left""","""complex""","""binivatrus"""
"25","A0548924W0OWP39CRDOV","0","""11""","""20""","""short""","""1-4""","""20""","""right""","""simple""","""vatrus"""
"26","A0548924W0OWP39CRDOV","1","""7""","""9""","""short""","""2-3""","""7""","""left""","""complex""","""lopus"""
"27","A0548924W0OWP39CRDOV","2","""21""","""13""","""long""","""1-5""","""21""","""right""","""complex""","""tiburalex"""
"28","A0548924W0OWP39CRDOV","3","""58""","""37""","""long""","""2-4""","""37""","""right""","""simple""","""tupabugorn"""
"29","A0548924W0OWP39CRDOV","4","""29""","""28""","""long""","""1-1""","""29""","""left""","""complex""","""pakuwugnum"""
"30","A0548924W0OWP39CRDOV","5","""60""","""40""","""short""","""3-3""","""60""","""left""","""complex""","""torun"""
"31","A0548924W0OWP39CRDOV","6","""27""","""18""","""long""","""4-5""","""18""","""left""","""simple""","""kibagronan"""
"32","A0548924W0OWP39CRDOV","7","""42""","""41""","""short""","""4-4""","""42""","""left""","""complex""","""ratum"""
"33","A0607295133OZ2DIJW5P8","0","""11""","""5""","""long""","""2-4""","""11""","""right""","""complex""","""tupabugorn"""
"34","A0607295133OZ2DIJW5P8","1","""27""","""52""","""long""","""5-5""","""27""","""left""","""complex""","""fepolopus"""
"35","A0607295133OZ2DIJW5P8","2","""7""","""3""","""long""","""1-3""","""3""","""left""","""simple""","""mipatorun"""
"36","A0607295133OZ2DIJW5P8","3","""33""","""8""","""short""","""3-5""","""8""","""left""","""simple""","""wugnum"""
"37","A0607295133OZ2DIJW5P8","4","""60""","""48""","""short""","""3-3""","""48""","""right""","""simple""","""ratum"""
"38","A0607295133OZ2DIJW5P8","5","""39""","""55""","""short""","""2-3""","""55""","""right""","""simple""","""gronan"""
"39","A0607295133OZ2DIJW5P8","6","""26""","""31""","""long""","""4-4""","""31""","""right""","""simple""","""binivatrus"""
"40","A0607295133OZ2DIJW5P8","7","""14""","""46""","""short""","""1-5""","""14""","""left""","""complex""","""ralex"""
"41","A06844383SJTPQU97CMSO","0","""60""","""49""","""long""","""2-3""","""49""","""left""","""simple""","""tiburalex"""
"42","A06844383SJTPQU97CMSO","1","""25""","""30""","""short""","""4-5""","""30""","""left""","""simple""","""lopus"""
"43","A06844383SJTPQU97CMSO","2","""36""","""52""","""short""","""5-5""","""36""","""left""","""complex""","""torun"""
"44","A06844383SJTPQU97CMSO","3","""26""","""47""","""short""","""4-4""","""47""","""left""","""simple""","""gronan"""
"45","A06844383SJTPQU97CMSO","4","""31""","""6""","""long""","""2-4""","""31""","""right""","""complex""","""gaburatum"""
"46","A06844383SJTPQU97CMSO","5","""59""","""54""","""long""","""1-1""","""59""","""right""","""complex""","""pakuwugnum"""
"47","A06844383SJTPQU97CMSO","6","""14""","""5""","""short""","""2-5""","""5""","""right""","""simple""","""bugorn"""
"48","A06844383SJTPQU97CMSO","7","""22""","""34""","""long""","""2-2""","""34""","""left""","""simple""","""binivatrus"""
"49","A07470353L7983ZPFPYV2","0","""31""","""8""","""long""","""3-4""","""8""","""left""","""simple""","""gaburatum"""
"50","A07470353L7983ZPFPYV2","1","""55""","""59""","""long""","""1-2""","""59""","""right""","""simple""","""fepolopus"""
"51","A07470353L7983ZPFPYV2","2","""35""","""29""","""short""","""1-5""","""35""","""left""","""complex""","""wugnum"""
"52","A07470353L7983ZPFPYV2","3","""47""","""20""","""short""","""1-4""","""20""","""left""","""simple""","""vatrus"""
"53","A07470353L7983ZPFPYV2","4","""27""","""11""","""short""","""4-5""","""27""","""left""","""complex""","""torun"""
"54","A07470353L7983ZPFPYV2","5","""23""","""30""","""long""","""4-4""","""23""","""left""","""complex""","""tiburalex"""
"55","A07470353L7983ZPFPYV2","6","""14""","""21""","""long""","""5-5""","""21""","""right""","""simple""","""tupabugorn"""
"56","A07470353L7983ZPFPYV2","7","""39""","""15""","""short""","""1-3""","""39""","""right""","""complex""","""gronan"""
"57","A08408192347XLM3EVY76","0","""35""","""41""","""long""","""4-5""","""41""","""left""","""simple""","""tupabugorn"""
"58","A08408192347XLM3EVY76","1","""10""","""22""","""long""","""2-2""","""10""","""right""","""complex""","""fepolopus"""
"59","A08408192347XLM3EVY76","2","""55""","""20""","""short""","""1-2""","""20""","""right""","""simple""","""ratum"""
"60","A08408192347XLM3EVY76","3","""42""","""58""","""short""","""4-4""","""58""","""right""","""simple""","""ralex"""
"61","A08408192347XLM3EVY76","4","""28""","""57""","""short""","""1-1""","""57""","""right""","""simple""","""wugnum"""
"62","A08408192347XLM3EVY76","5","""21""","""12""","""long""","""3-5""","""21""","""right""","""complex""","""kibagronan"""
"63","A08408192347XLM3EVY76","6","""16""","""54""","""short""","""1-3""","""16""","""left""","""complex""","""vatrus"""
"64","A08408192347XLM3EVY76","7","""56""","""50""","""long""","""3-3""","""56""","""right""","""complex""","""mipatorun"""
"65","A105ETHFWRUGM7","0","""36""","""48""","""short""","""3-5""","""36""","""right""","""complex""","""lopus"""
"66","A105ETHFWRUGM7","1","""12""","""24""","""short""","""3-3""","""24""","""right""","""simple""","""torun"""
"67","A105ETHFWRUGM7","2","""47""","""59""","""long""","""1-4""","""47""","""right""","""complex""","""binivatrus"""
"68","A105ETHFWRUGM7","3","""60""","""55""","""long""","""2-3""","""60""","""right""","""complex""","""gaburatum"""
"69","A105ETHFWRUGM7","4","""29""","""44""","""short""","""1-1""","""44""","""left""","""simple""","""ralex"""
"70","A105ETHFWRUGM7","5","""27""","""49""","""long""","""2-5""","""49""","""right""","""simple""","""pakuwugnum"""
"71","A105ETHFWRUGM7","6","""32""","""21""","""short""","""5-5""","""32""","""right""","""complex""","""bugorn"""
"72","A105ETHFWRUGM7","7","""5""","""57""","""long""","""1-2""","""5""","""left""","""complex""","""kibagronan"""
"73","A108CUUOEG505F","0","""2""","""6""","""long""","""2-2""","""2""","""right""","""complex""","""gaburatum"""
"74","A108CUUOEG505F","1","""16""","""56""","""short""","""3-3""","""16""","""left""","""complex""","""bugorn"""
"75","A108CUUOEG505F","2","""10""","""46""","""short""","""1-2""","""46""","""right""","""simple""","""torun"""
"76","A108CUUOEG505F","3","""36""","""15""","""long""","""1-5""","""15""","""right""","""simple""","""kibagronan"""
"77","A108CUUOEG505F","4","""14""","""8""","""long""","""3-5""","""14""","""right""","""complex""","""binivatrus"""
"78","A108CUUOEG505F","5","""51""","""3""","""short""","""1-4""","""3""","""left""","""simple""","""ralex"""
"79","A108CUUOEG505F","6","""7""","""54""","""long""","""1-3""","""54""","""left""","""simple""","""pakuwugnum"""
"80","A108CUUOEG505F","7","""41""","""11""","""short""","""4-4""","""41""","""right""","""complex""","""lopus"""
"81","A10DGGOQ9N186P","0","""1""","""20""","""long""","""1-3""","""20""","""right""","""simple""","""mipatorun"""
"82","A10DGGOQ9N186P","1","""35""","""48""","""short""","""3-5""","""48""","""left""","""simple""","""gronan"""
"83","A10DGGOQ9N186P","2","""11""","""29""","""long""","""1-4""","""11""","""right""","""complex""","""fepolopus"""
"84","A10DGGOQ9N186P","3","""39""","""6""","""long""","""2-3""","""6""","""left""","""simple""","""tupabugorn"""
"85","A10DGGOQ9N186P","4","""53""","""32""","""long""","""5-5""","""32""","""left""","""simple""","""gaburatum"""
"86","A10DGGOQ9N186P","5","""49""","""55""","""short""","""2-2""","""49""","""left""","""complex""","""wugnum"""
"87","A10DGGOQ9N186P","6","""58""","""34""","""short""","""2-4""","""34""","""right""","""simple""","""vatrus"""
"88","A10DGGOQ9N186P","7","""26""","""56""","""short""","""3-4""","""56""","""right""","""simple""","""ralex"""
"89","A10DHEIDKZR0IJ","0","""18""","""6""","""short""","""2-4""","""18""","""left""","""complex""","""vatrus"""
"90","A10DHEIDKZR0IJ","1","""43""","""9""","""long""","""2-5""","""9""","""right""","""simple""","""mipatorun"""
"91","A10DHEIDKZR0IJ","2","""55""","""2""","""short""","""2-2""","""2""","""right""","""simple""","""lopus"""
"92","A10DHEIDKZR0IJ","3","""40""","""24""","""short""","""3-3""","""24""","""left""","""simple""","""bugorn"""
"93","A10DHEIDKZR0IJ","4","""42""","""39""","""long""","""3-4""","""42""","""right""","""complex""","""tiburalex"""
"94","A10DHEIDKZR0IJ","5","""59""","""46""","""long""","""1-1""","""46""","""left""","""simple""","""pakuwugnum"""
"95","A10DHEIDKZR0IJ","6","""32""","""31""","""long""","""4-5""","""32""","""right""","""complex""","""kibagronan"""
"96","A10DHEIDKZR0IJ","7","""4""","""13""","""short""","""1-2""","""4""","""right""","""complex""","""ratum"""
"97","A10DM8LZLXL464","0","""32""","""3""","""short""","""1-5""","""3""","""left""","""simple""","""bugorn"""
"98","A10DM8LZLXL464","1","""38""","""40""","""long""","""3-5""","""38""","""right""","""complex""","""mipatorun"""
"99","A10DM8LZLXL464","2","""47""","""45""","""short""","""4-4""","""47""","""right""","""complex""","""lopus"""
"100","A10DM8LZLXL464","3","""53""","""30""","""short""","""4-5""","""30""","""right""","""simple""","""ratum"""
"101","A10DM8LZLXL464","4","""28""","""13""","""long""","""1-1""","""28""","""left""","""complex""","""binivatrus"""
"102","A10DM8LZLXL464","5","""39""","""48""","""long""","""3-3""","""48""","""left""","""simple""","""tiburalex"""
"103","A10DM8LZLXL464","6","""23""","""2""","""short""","""2-4""","""2""","""left""","""simple""","""wugnum"""
"104","A10DM8LZLXL464","7","""14""","""35""","""long""","""5-5""","""14""","""left""","""complex""","""kibagronan"""
"105","A10IHZ0KF3B4NA","0","""45""","""56""","""long""","""3-4""","""45""","""left""","""complex""","""pakuwugnum"""
"106","A10IHZ0KF3B4NA","1","""35""","""46""","""short""","""1-5""","""46""","""right""","""simple""","""ratum"""
"107","A10IHZ0KF3B4NA","2","""48""","""19""","""short""","""1-3""","""19""","""right""","""simple""","""gronan"""
"108","A10IHZ0KF3B4NA","3","""28""","""15""","""long""","""1-1""","""28""","""left""","""complex""","""binivatrus"""
"109","A10IHZ0KF3B4NA","4","""51""","""41""","""short""","""4-4""","""41""","""right""","""simple""","""lopus"""
"110","A10IHZ0KF3B4NA","5","""34""","""20""","""short""","""1-2""","""20""","""left""","""simple""","""ralex"""
"111","A10IHZ0KF3B4NA","6","""52""","""6""","""long""","""2-5""","""52""","""left""","""complex""","""mipatorun"""
"112","A10IHZ0KF3B4NA","7","""43""","""36""","""long""","""5-5""","""43""","""left""","""complex""","""tupabugorn"""
"113","A10SUPT94QJPN7","0","""60""","""5""","""long""","""2-3""","""5""","""left""","""simple""","""kibagronan"""
"114","A10SUPT94QJPN7","1","""40""","""24""","""long""","""3-3""","""40""","""right""","""complex""","""binivatrus"""
"115","A10SUPT94QJPN7","2","""45""","""9""","""short""","""2-4""","""45""","""right""","""complex""","""torun"""
"116","A10SUPT94QJPN7","3","""10""","""13""","""short""","""1-2""","""10""","""left""","""complex""","""ralex"""
"117","A10SUPT94QJPN7","4","""18""","""51""","""short""","""4-4""","""18""","""right""","""complex""","""bugorn"""
"118","A10SUPT94QJPN7","5","""21""","""27""","""long""","""5-5""","""27""","""right""","""simple""","""gaburatum"""
"119","A10SUPT94QJPN7","6","""20""","""46""","""short""","""1-1""","""20""","""left""","""complex""","""wugnum"""
"120","A10SUPT94QJPN7","7","""43""","""22""","""long""","""2-5""","""43""","""left""","""complex""","""fepolopus"""
"121","A1159EV0HX7QLZ","0","""7""","""55""","""long""","""2-3""","""55""","""left""","""simple""","""fepolopus"""
"122","A1159EV0HX7QLZ","1","""27""","""50""","""short""","""3-5""","""27""","""right""","""complex""","""bugorn"""
"123","A1159EV0HX7QLZ","2","""45""","""1""","""short""","""3-4""","""1""","""right""","""simple""","""torun"""
"124","A1159EV0HX7QLZ","3","""52""","""58""","""long""","""4-5""","""52""","""left""","""complex""","""binivatrus"""
"125","A1159EV0HX7QLZ","4","""21""","""44""","""long""","""1-5""","""44""","""left""","""simple""","""kibagronan"""
"126","A1159EV0HX7QLZ","5","""26""","""20""","""long""","""1-4""","""26""","""right""","""complex""","""tiburalex"""
"127","A1159EV0HX7QLZ","6","""28""","""13""","""short""","""1-1""","""13""","""left""","""simple""","""wugnum"""
"128","A1159EV0HX7QLZ","7","""31""","""6""","""short""","""2-4""","""31""","""right""","""complex""","""ratum"""
"129","A11HW2YHQ89EQG","0","""6""","""29""","""long""","""1-2""","""29""","""right""","""simple""","""fepolopus"""
"130","A11HW2YHQ89EQG","1","""19""","""28""","""short""","""1-1""","""28""","""right""","""simple""","""vatrus"""
"131","A11HW2YHQ89EQG","2","""33""","""12""","""short""","""3-5""","""12""","""right""","""simple""","""ratum"""
"132","A11HW2YHQ89EQG","3","""48""","""50""","""long""","""3-3""","""48""","""right""","""complex""","""tiburalex"""
"133","A11HW2YHQ89EQG","4","""9""","""17""","""long""","""2-2""","""9""","""left""","""complex""","""pakuwugnum"""
"134","A11HW2YHQ89EQG","5","""42""","""7""","""short""","""3-4""","""7""","""right""","""simple""","""gronan"""
"135","A11HW2YHQ89EQG","6","""52""","""11""","""short""","""4-5""","""52""","""left""","""complex""","""bugorn"""
"136","A11HW2YHQ89EQG","7","""21""","""25""","""long""","""5-5""","""21""","""right""","""complex""","""mipatorun"""
"137","A11KIHHXGN8XCA","0","""1""","""8""","""short""","""3-3""","""8""","""left""","""simple""","""wugnum"""
"138","A11KIHHXGN8XCA","1","""39""","""54""","""long""","""1-3""","""54""","""right""","""simple""","""kibagronan"""
"139","A11KIHHXGN8XCA","2","""21""","""53""","""short""","""5-5""","""53""","""right""","""simple""","""torun"""
"140","A11KIHHXGN8XCA","3","""10""","""22""","""short""","""2-2""","""10""","""left""","""complex""","""vatrus"""
"141","A11KIHHXGN8XCA","4","""29""","""57""","""short""","""1-1""","""57""","""right""","""simple""","""ralex"""
"142","A11KIHHXGN8XCA","5","""27""","""45""","""long""","""4-5""","""45""","""right""","""simple""","""gaburatum"""
"143","A11KIHHXGN8XCA","6","""58""","""44""","""long""","""1-4""","""58""","""right""","""complex""","""tupabugorn"""
"144","A11KIHHXGN8XCA","7","""undefined""","""41""","""long""","""4-4""","""41""","""right""","""simple""","""fepolopus"""
"145","A11T73EGLD6NRQ","0","""37""","""20""","""long""","""1-2""","""37""","""left""","""complex""","""kibagronan"""
"146","A11T73EGLD6NRQ","1","""21""","""10""","""short""","""2-5""","""21""","""left""","""complex""","""ralex"""
"147","A11T73EGLD6NRQ","2","""42""","""55""","""short""","""2-4""","""55""","""right""","""simple""","""torun"""
"148","A11T73EGLD6NRQ","3","""6""","""5""","""long""","""2-2""","""5""","""left""","""simple""","""tupabugorn"""
"149","A11T73EGLD6NRQ","4","""47""","""15""","""short""","""1-4""","""47""","""left""","""complex""","""vatrus"""
"150","A11T73EGLD6NRQ","5","""23""","""16""","""long""","""3-4""","""16""","""right""","""simple""","""fepolopus"""
"151","A11T73EGLD6NRQ","6","""38""","""58""","""long""","""4-5""","""38""","""left""","""complex""","""pakuwugnum"""
"152","A11T73EGLD6NRQ","7","""36""","""33""","""short""","""5-5""","""33""","""left""","""simple""","""ratum"""
"153","A11WSO7BHGJ5CT","0","""27""","""41""","""long""","""4-5""","""41""","""left""","""simple""","""tupabugorn"""
"154","A11WSO7BHGJ5CT","1","""12""","""7""","""short""","""3-3""","""12""","""left""","""complex""","""ralex"""
"155","A11WSO7BHGJ5CT","2","""13""","""54""","""short""","""1-1""","""54""","""left""","""simple""","""vatrus"""
"156","A11WSO7BHGJ5CT","3","""51""","""30""","""short""","""4-4""","""30""","""left""","""simple""","""lopus"""
"157","A11WSO7BHGJ5CT","4","""34""","""57""","""long""","""1-2""","""57""","""left""","""simple""","""pakuwugnum"""
"158","A11WSO7BHGJ5CT","5","""10""","""55""","""long""","""2-2""","""55""","""left""","""simple""","""kibagronan"""
"159","A11WSO7BHGJ5CT","6","""38""","""49""","""long""","""2-5""","""38""","""left""","""complex""","""gaburatum"""
"160","A11WSO7BHGJ5CT","7","""50""","""44""","""short""","""1-3""","""44""","""left""","""simple""","""torun"""
"161","A124D6QW6I80H6","0","""55""","""10""","""long""","""2-2""","""10""","""right""","""simple""","""tiburalex"""
"162","A124D6QW6I80H6","1","""23""","""8""","""short""","""3-4""","""8""","""right""","""simple""","""lopus"""
"163","A124D6QW6I80H6","2","""37""","""20""","""long""","""1-2""","""37""","""right""","""complex""","""tupabugorn"""
"164","A124D6QW6I80H6","3","""3""","""44""","""long""","""1-1""","""44""","""left""","""simple""","""mipatorun"""
"165","A124D6QW6I80H6","4","""38""","""35""","""short""","""5-5""","""38""","""right""","""complex""","""gronan"""
"166","A124D6QW6I80H6","5","""32""","""22""","""long""","""2-5""","""32""","""right""","""complex""","""gaburatum"""
"167","A124D6QW6I80H6","6","""41""","""6""","""short""","""2-4""","""6""","""left""","""simple""","""wugnum"""
"168","A124D6QW6I80H6","7","""52""","""16""","""short""","""3-5""","""52""","""right""","""complex""","""vatrus"""
"169","A124NJNCAG5E6E","0","""38""","""23""","""short""","""4-5""","""23""","""right""","""simple""","""bugorn"""
"170","A124NJNCAG5E6E","1","""58""","""30""","""short""","""4-4""","""30""","""left""","""simple""","""lopus"""
"171","A124NJNCAG5E6E","2","""26""","""10""","""long""","""2-4""","""10""","""right""","""simple""","""kibagronan"""
"172","A124NJNCAG5E6E","3","""55""","""15""","""long""","""1-2""","""55""","""right""","""complex""","""pakuwugnum"""
"173","A124NJNCAG5E6E","4","""35""","""5""","""long""","""2-5""","""35""","""left""","""complex""","""tiburalex"""
"174","A124NJNCAG5E6E","5","""27""","""28""","""short""","""1-5""","""28""","""left""","""simple""","""ratum"""
"175","A124NJNCAG5E6E","6","""8""","""7""","""long""","""3-3""","""8""","""left""","""complex""","""binivatrus"""
"176","A124NJNCAG5E6E","7","""43""","""21""","""short""","""5-5""","""21""","""left""","""simple""","""torun"""
"177","A125FN8IYVB93O","0","""52""","""51""","""short""","""4-5""","""52""","""right""","""complex""","""ratum"""
"178","A125FN8IYVB93O","1","""11""","""6""","""long""","""2-4""","""6""","""right""","""simple""","""binivatrus"""
"179","A125FN8IYVB93O","2","""42""","""45""","""long""","""4-4""","""42""","""left""","""complex""","""kibagronan"""
"180","A125FN8IYVB93O","3","""9""","""4""","""long""","""2-2""","""9""","""left""","""complex""","""mipatorun"""
"181","A125FN8IYVB93O","4","""26""","""59""","""short""","""1-4""","""59""","""left""","""simple""","""bugorn"""
"182","A125FN8IYVB93O","5","""21""","""60""","""short""","""3-5""","""60""","""right""","""simple""","""ralex"""
"183","A125FN8IYVB93O","6","""32""","""35""","""short""","""5-5""","""32""","""left""","""complex""","""lopus"""
"184","A125FN8IYVB93O","7","""16""","""39""","""long""","""3-3""","""39""","""right""","""simple""","""pakuwugnum"""
"185","A1276OAJ04HURQ","0","""53""","""42""","""short""","""4-5""","""42""","""right""","""simple""","""ratum"""
"186","A1276OAJ04HURQ","1","""38""","""56""","""short""","""3-5""","""38""","""left""","""complex""","""ralex"""
"187","A1276OAJ04HURQ","2","""21""","""25""","""long""","""5-5""","""21""","""left""","""complex""","""pakuwugnum"""
"188","A1276OAJ04HURQ","3","""16""","""34""","""short""","""2-3""","""34""","""right""","""simple""","""bugorn"""
"189","A1276OAJ04HURQ","4","""52""","""37""","""long""","""2-5""","""52""","""right""","""complex""","""mipatorun"""
"190","A1276OAJ04HURQ","5","""36""","""29""","""long""","""1-5""","""36""","""left""","""complex""","""binivatrus"""
"191","A1276OAJ04HURQ","6","""59""","""20""","""long""","""1-1""","""59""","""left""","""complex""","""fepolopus"""
"192","A1276OAJ04HURQ","7","""2""","""3""","""short""","""1-2""","""3""","""right""","""simple""","""gronan"""
"193","A128BUMKWWS54Z","0","""23""","""26""","""short""","""4-4""","""26""","""left""","""simple""","""wugnum"""
"194","A128BUMKWWS54Z","1","""9""","""10""","""long""","""2-2""","""10""","""right""","""simple""","""binivatrus"""
"195","A128BUMKWWS54Z","2","""58""","""1""","""long""","""3-4""","""1""","""left""","""simple""","""kibagronan"""
"196","A128BUMKWWS54Z","3","""60""","""4""","""short""","""2-3""","""60""","""left""","""complex""","""bugorn"""
"197","A128BUMKWWS54Z","4","""30""","""2""","""short""","""2-4""","""2""","""left""","""simple""","""ralex"""
"198","A128BUMKWWS54Z","5","""33""","""41""","""long""","""4-5""","""41""","""right""","""simple""","""gaburatum"""
"199","A128BUMKWWS54Z","6","""5""","""20""","""long""","""1-2""","""5""","""right""","""complex""","""mipatorun"""
"200","A128BUMKWWS54Z","7","""11""","""13""","""short""","""1-4""","""11""","""right""","""complex""","""lopus"""
"201","A12N488WIO2Q8Y","0","""14""","""2""","""short""","""2-5""","""2""","""left""","""simple""","""ratum"""
"202","A12N488WIO2Q8Y","1","""25""","""42""","""short""","""4-5""","""25""","""right""","""complex""","""vatrus"""
"203","A12N488WIO2Q8Y","2","""13""","""59""","""long""","""1-1""","""59""","""right""","""simple""","""pakuwugnum"""
"204","A12N488WIO2Q8Y","3","""26""","""45""","""long""","""4-4""","""45""","""left""","""simple""","""tiburalex"""
"205","A12N488WIO2Q8Y","4","""50""","""3""","""long""","""1-3""","""3""","""right""","""simple""","""fepolopus"""
"206","A12N488WIO2Q8Y","5","""21""","""46""","""short""","""1-5""","""21""","""left""","""complex""","""torun"""
"207","A12N488WIO2Q8Y","6","""51""","""40""","""long""","""3-4""","""51""","""right""","""complex""","""tupabugorn"""
"208","A12N488WIO2Q8Y","7","""48""","""1""","""short""","""3-3""","""48""","""right""","""complex""","""gronan"""
"209","A12NUF2YIDJY0J","0","""55""","""9""","""long""","""2-2""","""55""","""right""","""complex""","""pakuwugnum"""
"210","A12NUF2YIDJY0J","1","""57""","""20""","""long""","""1-1""","""57""","""right""","""complex""","""kibagronan"""
"211","A12NUF2YIDJY0J","2","""35""","""40""","""long""","""3-5""","""40""","""right""","""simple""","""fepolopus"""
"212","A12NUF2YIDJY0J","3","""33""","""21""","""short""","""5-5""","""21""","""left""","""simple""","""vatrus"""
"213","A12NUF2YIDJY0J","4","""12""","""15""","""short""","""1-3""","""12""","""left""","""complex""","""bugorn"""
"214","A12NUF2YIDJY0J","5","""41""","""44""","""short""","""1-4""","""41""","""left""","""complex""","""ralex"""
"215","A12NUF2YIDJY0J","6","""52""","""34""","""long""","""2-5""","""52""","""right""","""complex""","""mipatorun"""
"216","A12NUF2YIDJY0J","7","""49""","""28""","""short""","""1-2""","""49""","""left""","""complex""","""ratum"""
"217","A12XT3G04ABBNA","0","""35""","""2""","""long""","""2-5""","""35""","""left""","""complex""","""mipatorun"""
"218","A12XT3G04ABBNA","1","""37""","""20""","""short""","""1-2""","""37""","""right""","""complex""","""bugorn"""
"219","A12XT3G04ABBNA","2","""52""","""15""","""short""","""1-5""","""52""","""right""","""complex""","""wugnum"""
"220","A12XT3G04ABBNA","3","""36""","""32""","""short""","""5-5""","""32""","""left""","""simple""","""ralex"""
"221","A12XT3G04ABBNA","4","""31""","""60""","""short""","""3-4""","""60""","""right""","""simple""","""ratum"""
"222","A12XT3G04ABBNA","5","""46""","""54""","""long""","""1-1""","""54""","""left""","""simple""","""fepolopus"""
"223","A12XT3G04ABBNA","6","""18""","""11""","""long""","""4-4""","""18""","""right""","""complex""","""kibagronan"""
"224","A12XT3G04ABBNA","7","""53""","""50""","""long""","""3-5""","""50""","""left""","""simple""","""binivatrus"""
"225","A12YM8XYCDEA3","0","""47""","""34""","""short""","""2-4""","""34""","""right""","""simple""","""wugnum"""
"226","A12YM8XYCDEA3","1","""12""","""57""","""short""","""1-3""","""12""","""right""","""complex""","""vatrus"""
"227","A12YM8XYCDEA3","2","""25""","""3""","""long""","""1-5""","""25""","""left""","""complex""","""gaburatum"""
"228","A12YM8XYCDEA3","3","""24""","""16""","""long""","""3-3""","""24""","""left""","""complex""","""mipatorun"""
"229","A12YM8XYCDEA3","4","""22""","""49""","""long""","""2-2""","""22""","""right""","""complex""","""tiburalex"""
"230","A12YM8XYCDEA3","5","""35""","""7""","""short""","""3-5""","""7""","""right""","""simple""","""lopus"""
"231","A12YM8XYCDEA3","6","""38""","""31""","""long""","""4-5""","""31""","""right""","""simple""","""kibagronan"""
"232","A12YM8XYCDEA3","7","""40""","""10""","""short""","""2-3""","""40""","""left""","""complex""","""bugorn"""
"233","A132R4FPJHAB55","0","""27""","""55""","""short""","""2-5""","""55""","""right""","""simple""","""gronan"""
"234","A132R4FPJHAB55","1","""32""","""56""","""long""","""3-5""","""32""","""left""","""complex""","""binivatrus"""
"235","A132R4FPJHAB55","2","""11""","""34""","""long""","""2-4""","""11""","""right""","""complex""","""fepolopus"""
"236","A132R4FPJHAB55","3","""47""","""26""","""short""","""4-4""","""26""","""right""","""simple""","""bugorn"""
"237","A132R4FPJHAB55","4","""16""","""28""","""short""","""1-3""","""16""","""left""","""complex""","""ralex"""
"238","A132R4FPJHAB55","5","""42""","""57""","""long""","""1-4""","""57""","""left""","""simple""","""gaburatum"""
